geoAreaCode,geoAreaName,age_code,age_desc,sex_code,sex_desc,n_disaggregations,timeSeries_id,timeSeries_keys,n_years,min_year,max_year,min_n_years,max_n_years
112,Belarus,Y_GE25,25 years old and over,F,Female,2,SI_POV_EMP1__Y_GE25__F,age__sex,19,2000,2018,4,20
112,Belarus,Y_GE25,25 years old and over,M,Male,2,SI_POV_EMP1__Y_GE25__M,age__sex,19,2000,2018,4,20
84,Belize,Y_GE15,15 years old and over,_T,Both sexes,2,SI_POV_EMP1__Y_GE15___T,age__sex,19,2000,2018,4,20
84,Belize,Y_GE15,15 years old and over,F,Female,2,SI_POV_EMP1__Y_GE15__F,age__sex,19,2000,2018,4,20
84,Belize,Y_GE15,15 years old and over,M,Male,2,SI_POV_EMP1__Y_GE15__M,age__sex,19,2000,2018,4,20
84,Belize,Y15T24,15 to 24 years old,_T,Both sexes,2,SI_POV_EMP1__Y15T24___T,age__sex,19,2000,2018,4,20
84,Belize,Y15T24,15 to 24 years old,F,Female,2,SI_POV_EMP1__Y15T24__F,age__sex,19,2000,2018,4,20
84,Belize,Y15T24,15 to 24 years old,M,Male,2,SI_POV_EMP1__Y15T24__M,age__sex,19,2000,2018,4,20
84,Belize,Y_GE25,25 years old and over,_T,Both sexes,2,SI_POV_EMP1__Y_GE25___T,age__sex,19,2000,2018,4,20
84,Belize,Y_GE25,25 years old and over,F,Female,2,SI_POV_EMP1__Y_GE25__F,age__sex,19,2000,2018,4,20
84,Belize,Y_GE25,25 years old and over,M,Male,2,SI_POV_EMP1__Y_GE25__M,age__sex,19,2000,2018,4,20
204,Benin,Y_GE15,15 years old and over,_T,Both sexes,2,SI_POV_EMP1__Y_GE15___T,age__sex,19,2000,2018,4,20
204,Benin,Y_GE15,15 years old and over,F,Female,2,SI_POV_EMP1__Y_GE15__F,age__sex,19,2000,2018,4,20
204,Benin,Y_GE15,15 years old and over,M,Male,2,SI_POV_EMP1__Y_GE15__M,age__sex,19,2000,2018,4,20
204,Benin,Y15T24,15 to 24 years old,_T,Both sexes,2,SI_POV_EMP1__Y15T24___T,age__sex,19,2000,2018,4,20
204,Benin,Y15T24,15 to 24 years old,F,Female,2,SI_POV_EMP1__Y15T24__F,age__sex,19,2000,2018,4,20
204,Benin,Y15T24,15 to 24 years old,M,Male,2,SI_POV_EMP1__Y15T24__M,age__sex,19,2000,2018,4,20
204,Benin,Y_GE25,25 years old and over,_T,Both sexes,2,SI_POV_EMP1__Y_GE25___T,age__sex,19,2000,2018,4,20
204,Benin,Y_GE25,25 years old and over,F,Female,2,SI_POV_EMP1__Y_GE25__F,age__sex,19,2000,2018,4,20
204,Benin,Y_GE25,25 years old and over,M,Male,2,SI_POV_EMP1__Y_GE25__M,age__sex,19,2000,2018,4,20
64,Bhutan,Y_GE15,15 years old and over,_T,Both sexes,2,SI_POV_EMP1__Y_GE15___T,age__sex,16,2000,2018,4,20
64,Bhutan,Y_GE15,15 years old and over,F,Female,2,SI_POV_EMP1__Y_GE15__F,age__sex,16,2000,2018,4,20
64,Bhutan,Y_GE15,15 years old and over,M,Male,2,SI_POV_EMP1__Y_GE15__M,age__sex,16,2000,2018,4,20
64,Bhutan,Y15T24,15 to 24 years old,_T,Both sexes,2,SI_POV_EMP1__Y15T24___T,age__sex,16,2000,2018,4,20
64,Bhutan,Y15T24,15 to 24 years old,F,Female,2,SI_POV_EMP1__Y15T24__F,age__sex,16,2000,2018,4,20
64,Bhutan,Y15T24,15 to 24 years old,M,Male,2,SI_POV_EMP1__Y15T24__M,age__sex,16,2000,2018,4,20
64,Bhutan,Y_GE25,25 years old and over,_T,Both sexes,2,SI_POV_EMP1__Y_GE25___T,age__sex,16,2000,2018,4,20
64,Bhutan,Y_GE25,25 years old and over,F,Female,2,SI_POV_EMP1__Y_GE25__F,age__sex,16,2000,2018,4,20
64,Bhutan,Y_GE25,25 years old and over,M,Male,2,SI_POV_EMP1__Y_GE25__M,age__sex,16,2000,2018,4,20
68,Bolivia (Plurinational State of),Y_GE15,15 years old and over,_T,Both sexes,2,SI_POV_EMP1__Y_GE15___T,age__sex,19,2000,2018,4,20
68,Bolivia (Plurinational State of),Y_GE15,15 years old and over,F,Female,2,SI_POV_EMP1__Y_GE15__F,age__sex,19,2000,2018,4,20
68,Bolivia (Plurinational State of),Y_GE15,15 years old and over,M,Male,2,SI_POV_EMP1__Y_GE15__M,age__sex,19,2000,2018,4,20
68,Bolivia (Plurinational State of),Y15T24,15 to 24 years old,_T,Both sexes,2,SI_POV_EMP1__Y15T24___T,age__sex,19,2000,2018,4,20
68,Bolivia (Plurinational State of),Y15T24,15 to 24 years old,F,Female,2,SI_POV_EMP1__Y15T24__F,age__sex,19,2000,2018,4,20
68,Bolivia (Plurinational State of),Y15T24,15 to 24 years old,M,Male,2,SI_POV_EMP1__Y15T24__M,age__sex,19,2000,2018,4,20
68,Bolivia (Plurinational State of),Y_GE25,25 years old and over,_T,Both sexes,2,SI_POV_EMP1__Y_GE25___T,age__sex,19,2000,2018,4,20
68,Bolivia (Plurinational State of),Y_GE25,25 years old and over,F,Female,2,SI_POV_EMP1__Y_GE25__F,age__sex,19,2000,2018,4,20
68,Bolivia (Plurinational State of),Y_GE25,25 years old and over,M,Male,2,SI_POV_EMP1__Y_GE25__M,age__sex,19,2000,2018,4,20
70,Bosnia and Herzegovina,Y_GE15,15 years old and over,_T,Both sexes,2,SI_POV_EMP1__Y_GE15___T,age__sex,19,2000,2018,4,20
70,Bosnia and Herzegovina,Y_GE15,15 years old and over,F,Female,2,SI_POV_EMP1__Y_GE15__F,age__sex,19,2000,2018,4,20
70,Bosnia and Herzegovina,Y_GE15,15 years old and over,M,Male,2,SI_POV_EMP1__Y_GE15__M,age__sex,19,2000,2018,4,20
70,Bosnia and Herzegovina,Y15T24,15 to 24 years old,_T,Both sexes,2,SI_POV_EMP1__Y15T24___T,age__sex,19,2000,2018,4,20
70,Bosnia and Herzegovina,Y15T24,15 to 24 years old,F,Female,2,SI_POV_EMP1__Y15T24__F,age__sex,19,2000,2018,4,20
70,Bosnia and Herzegovina,Y15T24,15 to 24 years old,M,Male,2,SI_POV_EMP1__Y15T24__M,age__sex,19,2000,2018,4,20
70,Bosnia and Herzegovina,Y_GE25,25 years old and over,_T,Both sexes,2,SI_POV_EMP1__Y_GE25___T,age__sex,19,2000,2018,4,20
70,Bosnia and Herzegovina,Y_GE25,25 years old and over,F,Female,2,SI_POV_EMP1__Y_GE25__F,age__sex,19,2000,2018,4,20
70,Bosnia and Herzegovina,Y_GE25,25 years old and over,M,Male,2,SI_POV_EMP1__Y_GE25__M,age__sex,19,2000,2018,4,20
72,Botswana,Y_GE15,15 years old and over,_T,Both sexes,2,SI_POV_EMP1__Y_GE15___T,age__sex,19,2000,2018,4,20
72,Botswana,Y_GE15,15 years old and over,F,Female,2,SI_POV_EMP1__Y_GE15__F,age__sex,19,2000,2018,4,20
72,Botswana,Y_GE15,15 years old and over,M,Male,2,SI_POV_EMP1__Y_GE15__M,age__sex,19,2000,2018,4,20
72,Botswana,Y15T24,15 to 24 years old,_T,Both sexes,2,SI_POV_EMP1__Y15T24___T,age__sex,19,2000,2018,4,20
72,Botswana,Y15T24,15 to 24 years old,F,Female,2,SI_POV_EMP1__Y15T24__F,age__sex,19,2000,2018,4,20
72,Botswana,Y15T24,15 to 24 years old,M,Male,2,SI_POV_EMP1__Y15T24__M,age__sex,19,2000,2018,4,20
72,Botswana,Y_GE25,25 years old and over,_T,Both sexes,2,SI_POV_EMP1__Y_GE25___T,age__sex,19,2000,2018,4,20
72,Botswana,Y_GE25,25 years old and over,F,Female,2,SI_POV_EMP1__Y_GE25__F,age__sex,19,2000,2018,4,20
72,Botswana,Y_GE25,25 years old and over,M,Male,2,SI_POV_EMP1__Y_GE25__M,age__sex,19,2000,2018,4,20
76,Brazil,Y_GE15,15 years old and over,_T,Both sexes,2,SI_POV_EMP1__Y_GE15___T,age__sex,19,2000,2018,4,20
76,Brazil,Y_GE15,15 years old and over,F,Female,2,SI_POV_EMP1__Y_GE15__F,age__sex,19,2000,2018,4,20
76,Brazil,Y_GE15,15 years old and over,M,Male,2,SI_POV_EMP1__Y_GE15__M,age__sex,19,2000,2018,4,20
76,Brazil,Y15T24,15 to 24 years old,_T,Both sexes,2,SI_POV_EMP1__Y15T24___T,age__sex,19,2000,2018,4,20
76,Brazil,Y15T24,15 to 24 years old,F,Female,2,SI_POV_EMP1__Y15T24__F,age__sex,19,2000,2018,4,20
76,Brazil,Y15T24,15 to 24 years old,M,Male,2,SI_POV_EMP1__Y15T24__M,age__sex,19,2000,2018,4,20
76,Brazil,Y_GE25,25 years old and over,_T,Both sexes,2,SI_POV_EMP1__Y_GE25___T,age__sex,19,2000,2018,4,20
76,Brazil,Y_GE25,25 years old and over,F,Female,2,SI_POV_EMP1__Y_GE25__F,age__sex,19,2000,2018,4,20
76,Brazil,Y_GE25,25 years old and over,M,Male,2,SI_POV_EMP1__Y_GE25__M,age__sex,19,2000,2018,4,20
854,Burkina Faso,Y_GE15,15 years old and over,_T,Both sexes,2,SI_POV_EMP1__Y_GE15___T,age__sex,19,2000,2018,4,20
854,Burkina Faso,Y_GE15,15 years old and over,F,Female,2,SI_POV_EMP1__Y_GE15__F,age__sex,19,2000,2018,4,20
854,Burkina Faso,Y_GE15,15 years old and over,M,Male,2,SI_POV_EMP1__Y_GE15__M,age__sex,19,2000,2018,4,20
854,Burkina Faso,Y15T24,15 to 24 years old,_T,Both sexes,2,SI_POV_EMP1__Y15T24___T,age__sex,19,2000,2018,4,20
854,Burkina Faso,Y15T24,15 to 24 years old,F,Female,2,SI_POV_EMP1__Y15T24__F,age__sex,19,2000,2018,4,20
854,Burkina Faso,Y15T24,15 to 24 years old,M,Male,2,SI_POV_EMP1__Y15T24__M,age__sex,19,2000,2018,4,20
854,Burkina Faso,Y_GE25,25 years old and over,_T,Both sexes,2,SI_POV_EMP1__Y_GE25___T,age__sex,19,2000,2018,4,20
854,Burkina Faso,Y_GE25,25 years old and over,F,Female,2,SI_POV_EMP1__Y_GE25__F,age__sex,19,2000,2018,4,20
854,Burkina Faso,Y_GE25,25 years old and over,M,Male,2,SI_POV_EMP1__Y_GE25__M,age__sex,19,2000,2018,4,20
108,Burundi,Y_GE15,15 years old and over,_T,Both sexes,2,SI_POV_EMP1__Y_GE15___T,age__sex,19,2000,2018,4,20
108,Burundi,Y_GE15,15 years old and over,F,Female,2,SI_POV_EMP1__Y_GE15__F,age__sex,19,2000,2018,4,20
108,Burundi,Y_GE15,15 years old and over,M,Male,2,SI_POV_EMP1__Y_GE15__M,age__sex,19,2000,2018,4,20
108,Burundi,Y15T24,15 to 24 years old,_T,Both sexes,2,SI_POV_EMP1__Y15T24___T,age__sex,19,2000,2018,4,20
108,Burundi,Y15T24,15 to 24 years old,F,Female,2,SI_POV_EMP1__Y15T24__F,age__sex,19,2000,2018,4,20
108,Burundi,Y15T24,15 to 24 years old,M,Male,2,SI_POV_EMP1__Y15T24__M,age__sex,19,2000,2018,4,20
108,Burundi,Y_GE25,25 years old and over,_T,Both sexes,2,SI_POV_EMP1__Y_GE25___T,age__sex,19,2000,2018,4,20
108,Burundi,Y_GE25,25 years old and over,F,Female,2,SI_POV_EMP1__Y_GE25__F,age__sex,19,2000,2018,4,20
108,Burundi,Y_GE25,25 years old and over,M,Male,2,SI_POV_EMP1__Y_GE25__M,age__sex,19,2000,2018,4,20
132,Cabo Verde,Y_GE15,15 years old and over,_T,Both sexes,2,SI_POV_EMP1__Y_GE15___T,age__sex,19,2000,2018,4,20
132,Cabo Verde,Y_GE15,15 years old and over,F,Female,2,SI_POV_EMP1__Y_GE15__F,age__sex,19,2000,2018,4,20
132,Cabo Verde,Y_GE15,15 years old and over,M,Male,2,SI_POV_EMP1__Y_GE15__M,age__sex,19,2000,2018,4,20
132,Cabo Verde,Y15T24,15 to 24 years old,_T,Both sexes,2,SI_POV_EMP1__Y15T24___T,age__sex,19,2000,2018,4,20
132,Cabo Verde,Y15T24,15 to 24 years old,F,Female,2,SI_POV_EMP1__Y15T24__F,age__sex,19,2000,2018,4,20
132,Cabo Verde,Y15T24,15 to 24 years old,M,Male,2,SI_POV_EMP1__Y15T24__M,age__sex,19,2000,2018,4,20
132,Cabo Verde,Y_GE25,25 years old and over,_T,Both sexes,2,SI_POV_EMP1__Y_GE25___T,age__sex,19,2000,2018,4,20
132,Cabo Verde,Y_GE25,25 years old and over,F,Female,2,SI_POV_EMP1__Y_GE25__F,age__sex,19,2000,2018,4,20
132,Cabo Verde,Y_GE25,25 years old and over,M,Male,2,SI_POV_EMP1__Y_GE25__M,age__sex,19,2000,2018,4,20
116,Cambodia,Y_GE15,15 years old and over,_T,Both sexes,2,SI_POV_EMP1__Y_GE15___T,age__sex,6,2004,2011,4,20
116,Cambodia,Y_GE15,15 years old and over,F,Female,2,SI_POV_EMP1__Y_GE15__F,age__sex,6,2004,2011,4,20
116,Cambodia,Y_GE15,15 years old and over,M,Male,2,SI_POV_EMP1__Y_GE15__M,age__sex,6,2004,2011,4,20
116,Cambodia,Y15T24,15 to 24 years old,_T,Both sexes,2,SI_POV_EMP1__Y15T24___T,age__sex,6,2004,2011,4,20
116,Cambodia,Y15T24,15 to 24 years old,F,Female,2,SI_POV_EMP1__Y15T24__F,age__sex,6,2004,2011,4,20
116,Cambodia,Y15T24,15 to 24 years old,M,Male,2,SI_POV_EMP1__Y15T24__M,age__sex,6,2004,2011,4,20
116,Cambodia,Y_GE25,25 years old and over,_T,Both sexes,2,SI_POV_EMP1__Y_GE25___T,age__sex,6,2004,2011,4,20
116,Cambodia,Y_GE25,25 years old and over,F,Female,2,SI_POV_EMP1__Y_GE25__F,age__sex,6,2004,2011,4,20
116,Cambodia,Y_GE25,25 years old and over,M,Male,2,SI_POV_EMP1__Y_GE25__M,age__sex,6,2004,2011,4,20
120,Cameroon,Y_GE15,15 years old and over,_T,Both sexes,2,SI_POV_EMP1__Y_GE15___T,age__sex,19,2000,2018,4,20
120,Cameroon,Y_GE15,15 years old and over,F,Female,2,SI_POV_EMP1__Y_GE15__F,age__sex,19,2000,2018,4,20
120,Cameroon,Y_GE15,15 years old and over,M,Male,2,SI_POV_EMP1__Y_GE15__M,age__sex,19,2000,2018,4,20
120,Cameroon,Y15T24,15 to 24 years old,_T,Both sexes,2,SI_POV_EMP1__Y15T24___T,age__sex,19,2000,2018,4,20
120,Cameroon,Y15T24,15 to 24 years old,F,Female,2,SI_POV_EMP1__Y15T24__F,age__sex,19,2000,2018,4,20
120,Cameroon,Y15T24,15 to 24 years old,M,Male,2,SI_POV_EMP1__Y15T24__M,age__sex,19,2000,2018,4,20
120,Cameroon,Y_GE25,25 years old and over,_T,Both sexes,2,SI_POV_EMP1__Y_GE25___T,age__sex,19,2000,2018,4,20
120,Cameroon,Y_GE25,25 years old and over,F,Female,2,SI_POV_EMP1__Y_GE25__F,age__sex,19,2000,2018,4,20
120,Cameroon,Y_GE25,25 years old and over,M,Male,2,SI_POV_EMP1__Y_GE25__M,age__sex,19,2000,2018,4,20
140,Central African Republic,Y_GE15,15 years old and over,_T,Both sexes,2,SI_POV_EMP1__Y_GE15___T,age__sex,13,2000,2012,4,20
140,Central African Republic,Y_GE15,15 years old and over,F,Female,2,SI_POV_EMP1__Y_GE15__F,age__sex,13,2000,2012,4,20
140,Central African Republic,Y_GE15,15 years old and over,M,Male,2,SI_POV_EMP1__Y_GE15__M,age__sex,13,2000,2012,4,20
140,Central African Republic,Y15T24,15 to 24 years old,_T,Both sexes,2,SI_POV_EMP1__Y15T24___T,age__sex,13,2000,2012,4,20
140,Central African Republic,Y15T24,15 to 24 years old,F,Female,2,SI_POV_EMP1__Y15T24__F,age__sex,13,2000,2012,4,20
140,Central African Republic,Y15T24,15 to 24 years old,M,Male,2,SI_POV_EMP1__Y15T24__M,age__sex,13,2000,2012,4,20
140,Central African Republic,Y_GE25,25 years old and over,_T,Both sexes,2,SI_POV_EMP1__Y_GE25___T,age__sex,13,2000,2012,4,20
140,Central African Republic,Y_GE25,25 years old and over,F,Female,2,SI_POV_EMP1__Y_GE25__F,age__sex,13,2000,2012,4,20
140,Central African Republic,Y_GE25,25 years old and over,M,Male,2,SI_POV_EMP1__Y_GE25__M,age__sex,13,2000,2012,4,20
62,Central and Southern Asia,Y_GE15,15 years old and over,_T,Both sexes,2,SI_POV_EMP1__Y_GE15___T,age__sex,20,2000,2019,4,20
62,Central and Southern Asia,Y_GE15,15 years old and over,F,Female,2,SI_POV_EMP1__Y_GE15__F,age__sex,20,2000,2019,4,20
62,Central and Southern Asia,Y_GE15,15 years old and over,M,Male,2,SI_POV_EMP1__Y_GE15__M,age__sex,20,2000,2019,4,20
62,Central and Southern Asia,Y15T24,15 to 24 years old,_T,Both sexes,2,SI_POV_EMP1__Y15T24___T,age__sex,20,2000,2019,4,20
62,Central and Southern Asia,Y15T24,15 to 24 years old,F,Female,2,SI_POV_EMP1__Y15T24__F,age__sex,20,2000,2019,4,20
